dateTime;;Time;Value;
08-30-2021;;20:50:43;89;confidence:1}
08-30-2021;;20:50:48;88;confidence:1}
08-30-2021;;20:50:53;89;confidence:2}
08-30-2021;;20:50:58;87;confidence:2}
08-30-2021;;20:51:03;87;confidence:1}
08-30-2021;;20:51:08;88;confidence:2}
08-30-2021;;20:51:13;87;confidence:2}
08-30-2021;;20:51:18;87;confidence:1}
08-30-2021;;20:51:23;87;confidence:2}
08-30-2021;;20:51:28;88;confidence:2}
08-30-2021;;20:51:33;87;confidence:2}
08-30-2021;;20:51:43;87;confidence:1}
08-30-2021;;20:51:48;88;confidence:1}
08-30-2021;;20:51:53;87;confidence:1}
08-30-2021;;20:52:03;88;confidence:2}
08-30-2021;;20:52:08;89;confidence:2}
08-30-2021;;20:52:13;90;confidence:2}
08-30-2021;;20:52:28;90;confidence:2}
08-30-2021;;20:52:33;90;confidence:1}
08-30-2021;;20:52:38;90;confidence:2}
08-30-2021;;20:52:43;90;confidence:3}
08-30-2021;;20:52:48;91;confidence:2}
08-30-2021;;20:53:03;93;confidence:2}
08-30-2021;;20:53:08;94;confidence:2}
08-30-2021;;20:53:13;92;confidence:2}
08-30-2021;;20:53:18;91;confidence:2}
08-30-2021;;20:53:23;90;confidence:2}
08-30-2021;;20:53:28;89;confidence:2}
08-30-2021;;20:53:33;90;confidence:2}
08-30-2021;;20:53:38;89;confidence:2}
08-30-2021;;20:53:48;91;confidence:1}
08-30-2021;;20:53:53;93;confidence:2}
08-30-2021;;20:53:58;94;confidence:1}
08-30-2021;;20:54:03;95;confidence:1}
08-30-2021;;20:54:08;94;confidence:2}
08-30-2021;;20:54:13;93;confidence:2}
08-30-2021;;20:54:23;94;confidence:2}
08-30-2021;;20:54:38;95;confidence:2}
08-30-2021;;20:54:43;96;confidence:1}
08-30-2021;;20:54:48;95;confidence:2}
08-30-2021;;20:54:53;94;confidence:2}
08-30-2021;;20:54:58;93;confidence:2}
08-30-2021;;20:55:03;90;confidence:2}
08-30-2021;;20:55:08;91;confidence:2}
08-30-2021;;20:55:23;90;confidence:2}
08-30-2021;;20:55:33;89;confidence:2}
08-30-2021;;20:55:43;88;confidence:2}
08-30-2021;;20:55:48;89;confidence:2}
08-30-2021;;20:56:03;90;confidence:2}
08-30-2021;;20:56:08;91;confidence:2}
08-30-2021;;20:56:18;88;confidence:2}
08-30-2021;;20:56:23;87;confidence:2}
08-30-2021;;20:56:33;89;confidence:2}
08-30-2021;;20:56:38;91;confidence:2}
08-30-2021;;20:56:43;92;confidence:3}
08-30-2021;;20:56:48;91;confidence:3}
08-30-2021;;20:56:58;89;confidence:3}
08-30-2021;;20:57:08;90;confidence:3}
08-30-2021;;20:57:13;90;confidence:2}
08-30-2021;;20:57:23;91;confidence:2}
08-30-2021;;20:57:28;93;confidence:2}
08-30-2021;;20:57:33;92;confidence:2}
08-30-2021;;20:57:38;92;confidence:3}
08-30-2021;;20:57:43;93;confidence:3}
08-30-2021;;20:57:48;94;confidence:3}
08-30-2021;;20:57:53;94;confidence:2}
08-30-2021;;20:58:08;94;confidence:2}
08-30-2021;;20:58:13;95;confidence:2}
08-30-2021;;20:58:18;96;confidence:2}
08-30-2021;;20:58:23;96;confidence:2}
08-30-2021;;20:58:28;96;confidence:1}
08-30-2021;;20:58:33;93;confidence:1}
08-30-2021;;20:58:38;91;confidence:1}
08-30-2021;;20:58:43;92;confidence:1}
08-30-2021;;20:58:48;92;confidence:2}
08-30-2021;;20:58:53;88;confidence:3}
08-30-2021;;20:59:03;88;confidence:2}
08-30-2021;;20:59:08;89;confidence:2}
08-30-2021;;20:59:13;91;confidence:2}
08-30-2021;;20:59:18;92;confidence:2}
08-30-2021;;20:59:23;93;confidence:2}
08-30-2021;;20:59:38;95;confidence:2}
08-30-2021;;20:59:43;98;confidence:2}
08-30-2021;;20:59:53;95;confidence:2}
08-30-2021;;20:59:58;92;confidence:2}
08-30-2021;;21:00:08;91;confidence:2}
08-30-2021;;21:00:13;92;confidence:2}
08-30-2021;;21:00:23;92;confidence:3}
08-30-2021;;21:00:33;93;confidence:2}
08-30-2021;;21:00:38;94;confidence:2}
08-30-2021;;21:00:43;95;confidence:2}
08-30-2021;;21:00:48;96;confidence:2}
08-30-2021;;21:00:53;97;confidence:2}
08-30-2021;;21:00:58;93;confidence:2}
08-30-2021;;21:01:03;92;confidence:1}
08-30-2021;;21:01:08;94;confidence:2}
08-30-2021;;21:01:13;95;confidence:2}
08-30-2021;;21:01:28;95;confidence:2}
08-30-2021;;21:01:33;94;confidence:2}
08-30-2021;;21:01:48;93;confidence:3}
08-30-2021;;21:01:53;95;confidence:2}
08-30-2021;;21:02:08;95;confidence:2}
08-30-2021;;21:02:13;93;confidence:1}
08-30-2021;;21:02:18;90;confidence:1}
