"dateTime,""value""";;Time;Value;
9/01/2021;;16:06:54;88;confidence:1}
9/01/2021;;16:06:59;80;confidence:3}
9/01/2021;;16:07:04;79;confidence:2}
9/01/2021;;16:07:09;80;confidence:1}
9/01/2021;;16:07:19;81;confidence:1}
9/01/2021;;16:07:24;81;confidence:2}
9/01/2021;;16:07:39;82;confidence:2}
9/01/2021;;16:07:44;87;confidence:2}
9/01/2021;;16:07:49;91;confidence:2}
9/01/2021;;16:07:59;90;confidence:1}
9/01/2021;;16:08:09;90;confidence:2}
9/01/2021;;16:08:14;90;confidence:1}
9/01/2021;;16:08:19;89;confidence:1}
9/01/2021;;16:08:24;91;confidence:2}
9/01/2021;;16:08:29;92;confidence:2}
9/01/2021;;16:08:34;88;confidence:2}
9/01/2021;;16:08:39;82;confidence:1}
9/01/2021;;16:08:44;83;confidence:1}
9/01/2021;;16:08:49;86;confidence:2}
9/01/2021;;16:08:59;85;confidence:2}
9/01/2021;;16:09:04;84;confidence:3}
9/01/2021;;16:09:09;82;confidence:3}
9/01/2021;;16:09:14;82;confidence:2}
9/01/2021;;16:09:19;81;confidence:2}
9/01/2021;;16:09:34;81;confidence:2}
9/01/2021;;16:09:39;84;confidence:2}
9/01/2021;;16:09:44;88;confidence:2}
9/01/2021;;16:09:49;89;confidence:1}
9/01/2021;;16:09:54;92;confidence:1}
9/01/2021;;16:10:04;91;confidence:2}
9/01/2021;;16:10:09;92;confidence:1}
9/01/2021;;16:10:14;94;confidence:1}
9/01/2021;;16:10:19;95;confidence:1}
9/01/2021;;16:10:29;97;confidence:1}
9/01/2021;;16:10:34;98;confidence:1}
9/01/2021;;16:10:39;96;confidence:1}
9/01/2021;;16:10:44;92;confidence:1}
9/01/2021;;16:10:49;89;confidence:2}
9/01/2021;;16:10:54;93;confidence:2}
9/01/2021;;16:10:59;96;confidence:1}
9/01/2021;;16:11:14;100;confidence:1}
9/01/2021;;16:11:19;103;confidence:1}
9/01/2021;;16:11:24;105;confidence:1}
9/01/2021;;16:11:29;103;confidence:1}
9/01/2021;;16:11:34;99;confidence:1}
9/01/2021;;16:11:39;98;confidence:1}
9/01/2021;;16:11:44;97;confidence:2}
9/01/2021;;16:11:49;98;confidence:1}
9/01/2021;;16:11:54;94;confidence:1}
9/01/2021;;16:11:59;90;confidence:1}
9/01/2021;;16:12:04;90;confidence:1}
9/01/2021;;16:12:09;91;confidence:1}
9/01/2021;;16:12:14;90;confidence:2}
9/01/2021;;16:12:19;89;confidence:3}
9/01/2021;;16:12:24;86;confidence:2}
9/01/2021;;16:12:29;85;confidence:1}
9/01/2021;;16:12:39;84;confidence:1}
9/01/2021;;16:12:44;83;confidence:2}
9/01/2021;;16:12:49;80;confidence:3}
