da;eTime;Time;Value;;;
9/02/2021 0:00;7:03:42;17:33:42;81;confidence;1};10:30:00
9/02/2021 0:00;7:03:47;17:33:47;82;confidence;1};10:30:00
9/02/2021 0:00;7:03:52;17:33:52;81;confidence;1};10:30:00
9/02/2021 0:00;7:03:57;17:33:57;82;confidence;1};10:30:00
9/02/2021 0:00;7:04:02;17:34:02;83;confidence;1};10:30:00
9/02/2021 0:00;7:04:07;17:34:07;85;confidence;1};10:30:00
9/02/2021 0:00;7:04:12;17:34:12;83;confidence;1};10:30:00
9/02/2021 0:00;7:04:17;17:34:17;86;confidence;1};10:30:00
9/02/2021 0:00;7:04:22;17:34:22;85;confidence;1};10:30:00
9/02/2021 0:00;7:04:27;17:34:27;86;confidence;1};10:30:00
9/02/2021 0:00;7:04:37;17:34:37;87;confidence;1};10:30:00
9/02/2021 0:00;7:04:52;17:34:52;86;confidence;1};10:30:00
9/02/2021 0:00;7:05:07;17:35:07;86;confidence;1};10:30:00
9/02/2021 0:00;7:05:12;17:35:12;88;confidence;1};10:30:00
9/02/2021 0:00;7:05:24;17:35:24;94;confidence;1};10:30:00
9/02/2021 0:00;7:05:29;17:35:29;95;confidence;1};10:30:00
9/02/2021 0:00;7:05:39;17:35:39;86;confidence;1};10:30:00
9/02/2021 0:00;7:05:44;17:35:44;82;confidence;1};10:30:00
9/02/2021 0:00;7:05:49;17:35:49;85;confidence;1};10:30:00
9/02/2021 0:00;7:05:54;17:35:54;82;confidence;1};10:30:00
9/02/2021 0:00;7:05:59;17:35:59;81;confidence;1};10:30:00
9/02/2021 0:00;7:06:04;17:36:04;78;confidence;1};10:30:00
9/02/2021 0:00;7:06:09;17:36:09;75;confidence;1};10:30:00
9/02/2021 0:00;7:06:14;17:36:14;72;confidence;1};10:30:00
9/02/2021 0:00;7:06:24;17:36:24;73;confidence;1};10:30:00
9/02/2021 0:00;7:06:29;17:36:29;76;confidence;1};10:30:00
9/02/2021 0:00;7:06:39;17:36:39;77;confidence;1};10:30:00
9/02/2021 0:00;7:06:49;17:36:49;74;confidence;1};10:30:00
9/02/2021 0:00;7:06:54;17:36:54;77;confidence;1};10:30:00
9/02/2021 0:00;7:06:59;17:36:59;76;confidence;1};10:30:00
9/02/2021 0:00;7:07:04;17:37:04;75;confidence;1};10:30:00
9/02/2021 0:00;7:07:09;17:37:09;73;confidence;1};10:30:00
9/02/2021 0:00;7:07:14;17:37:14;75;confidence;1};10:30:00
9/02/2021 0:00;7:07:24;17:37:24;74;confidence;1};10:30:00
9/02/2021 0:00;7:07:39;17:37:39;76;confidence;1};10:30:00
9/02/2021 0:00;7:07:44;17:37:44;78;confidence;1};10:30:00
9/02/2021 0:00;7:07:54;17:37:54;81;confidence;1};10:30:00
9/02/2021 0:00;7:08:04;17:38:04;79;confidence;1};10:30:00
9/02/2021 0:00;7:08:14;17:38:14;78;confidence;1};10:30:00
9/02/2021 0:00;7:08:19;17:38:19;81;confidence;1};10:30:00
9/02/2021 0:00;7:08:24;17:38:24;81;confidence;1};10:30:00
9/02/2021 0:00;7:08:34;17:38:34;83;confidence;1};10:30:00
9/02/2021 0:00;7:08:39;17:38:39;79;confidence;1};10:30:00
9/02/2021 0:00;7:08:44;17:38:44;81;confidence;1};10:30:00
9/02/2021 0:00;7:08:49;17:38:49;82;confidence;1};10:30:00
9/02/2021 0:00;7:08:59;17:38:59;86;confidence;1};10:30:00
9/02/2021 0:00;7:09:04;17:39:04;85;confidence;1};10:30:00
9/02/2021 0:00;7:09:09;17:39:09;83;confidence;1};10:30:00
9/02/2021 0:00;7:09:19;17:39:19;82;confidence;1};10:30:00
9/02/2021 0:00;7:09:24;17:39:24;83;confidence;1};10:30:00
9/02/2021 0:00;7:09:29;17:39:29;79;confidence;1};10:30:00
9/02/2021 0:00;7:09:39;17:39:39;76;confidence;1};10:30:00
9/02/2021 0:00;7:09:44;17:39:44;79;confidence;1};10:30:00
9/02/2021 0:00;7:09:49;17:39:49;80;confidence;1};10:30:00
9/02/2021 0:00;7:09:54;17:39:54;79;confidence;1};10:30:00
9/02/2021 0:00;7:10:04;17:40:04;82;confidence;1};10:30:00
9/02/2021 0:00;7:10:09;17:40:09;78;confidence;1};10:30:00
9/02/2021 0:00;7:10:14;17:40:14;79;confidence;1};10:30:00
9/02/2021 0:00;7:10:19;17:40:19;80;confidence;1};10:30:00
9/02/2021 0:00;7:10:24;17:40:24;79;confidence;1};10:30:00
9/02/2021 0:00;7:10:29;17:40:29;81;confidence;1};10:30:00
9/02/2021 0:00;7:10:44;17:40:44;79;confidence;1};10:30:00
9/02/2021 0:00;7:10:49;17:40:49;81;confidence;1};10:30:00
9/02/2021 0:00;7:10:54;17:40:54;80;confidence;1};10:30:00
9/02/2021 0:00;7:10:59;17:40:59;79;confidence;1};10:30:00
9/02/2021 0:00;7:11:09;17:41:09;82;confidence;1};10:30:00
9/02/2021 0:00;7:11:14;17:41:14;81;confidence;1};10:30:00
9/02/2021 0:00;7:11:19;17:41:19;81;confidence;1};10:30:00
9/02/2021 0:00;7:11:24;17:41:24;83;confidence;1};10:30:00
9/02/2021 0:00;7:11:29;17:41:29;81;confidence;1};10:30:00
9/02/2021 0:00;7:11:34;17:41:34;82;confidence;1};10:30:00
9/02/2021 0:00;7:11:39;17:41:39;81;confidence;1};10:30:00
9/02/2021 0:00;7:11:44;17:41:44;83;confidence;1};10:30:00
9/02/2021 0:00;7:11:49;17:41:49;84;confidence;1};10:30:00
9/02/2021 0:00;7:11:54;17:41:54;86;confidence;1};10:30:00
9/02/2021 0:00;7:11:59;17:41:59;81;confidence;1};10:30:00
9/02/2021 0:00;7:12:04;17:42:04;83;confidence;1};10:30:00
9/02/2021 0:00;7:12:09;17:42:09;81;confidence;1};10:30:00
9/02/2021 0:00;7:12:14;17:42:14;83;confidence;1};10:30:00
9/02/2021 0:00;7:12:19;17:42:19;84;confidence;1};10:30:00
9/02/2021 0:00;7:12:29;17:42:29;86;confidence;1};10:30:00
9/02/2021 0:00;7:12:39;17:42:39;84;confidence;1};10:30:00
9/02/2021 0:00;7:12:44;17:42:44;82;confidence;1};10:30:00
9/02/2021 0:00;7:12:49;17:42:49;81;confidence;1};10:30:00
9/02/2021 0:00;7:12:54;17:42:54;80;confidence;1};10:30:00
9/02/2021 0:00;7:12:59;17:42:59;79;confidence;1};10:30:00
9/02/2021 0:00;7:13:09;17:43:09;78;confidence;1};10:30:00
9/02/2021 0:00;7:13:14;17:43:14;79;confidence;1};10:30:00
9/02/2021 0:00;7:13:19;17:43:19;78;confidence;1};10:30:00
9/02/2021 0:00;7:13:24;17:43:24;79;confidence;1};10:30:00
9/02/2021 0:00;7:13:29;17:43:29;77;confidence;1};10:30:00
9/02/2021 0:00;7:13:34;17:43:34;79;confidence;1};10:30:00
9/02/2021 0:00;7:13:39;17:43:39;82;confidence;1};10:30:00
9/02/2021 0:00;7:13:44;17:43:44;80;confidence;1};10:30:00
9/02/2021 0:00;7:13:49;17:43:49;78;confidence;1};10:30:00
9/02/2021 0:00;7:13:54;17:43:54;73;confidence;1};10:30:00
9/02/2021 0:00;7:13:59;17:43:59;75;confidence;1};10:30:00
9/02/2021 0:00;7:14:14;17:44:14;75;confidence;1};10:30:00
9/02/2021 0:00;7:14:19;17:44:19;76;confidence;1};10:30:00
9/02/2021 0:00;7:14:29;17:44:29;77;confidence;1};10:30:00
9/02/2021 0:00;7:14:39;17:44:39;76;confidence;1};10:30:00
9/02/2021 0:00;7:14:44;17:44:44;75;confidence;1};10:30:00
9/02/2021 0:00;7:14:49;17:44:49;76;confidence;1};10:30:00
9/02/2021 0:00;7:15:04;17:45:04;76;confidence;1};10:30:00
9/02/2021 0:00;7:15:09;17:45:09;74;confidence;2};10:30:00
9/02/2021 0:00;7:15:14;17:45:14;76;confidence;1};10:30:00
9/02/2021 0:00;7:15:24;17:45:24;77;confidence;1};10:30:00
9/02/2021 0:00;7:15:34;17:45:34;80;confidence;1};10:30:00
9/02/2021 0:00;7:15:39;17:45:39;81;confidence;1};10:30:00
9/02/2021 0:00;7:15:44;17:45:44;82;confidence;1};10:30:00
9/02/2021 0:00;7:15:49;17:45:49;80;confidence;1};10:30:00
9/02/2021 0:00;7:15:54;17:45:54;81;confidence;1};10:30:00
9/02/2021 0:00;7:15:59;17:45:59;80;confidence;1};10:30:00
9/02/2021 0:00;7:16:14;17:46:14;83;confidence;1};10:30:00
9/02/2021 0:00;7:16:19;17:46:19;84;confidence;1};10:30:00
9/02/2021 0:00;7:16:24;17:46:24;79;confidence;1};10:30:00
9/02/2021 0:00;7:16:29;17:46:29;77;confidence;1};10:30:00
9/02/2021 0:00;7:16:34;17:46:34;73;confidence;1};10:30:00
9/02/2021 0:00;7:16:39;17:46:39;74;confidence;1};10:30:00
9/02/2021 0:00;7:16:44;17:46:44;73;confidence;1};10:30:00
9/02/2021 0:00;7:16:49;17:46:49;74;confidence;1};10:30:00
9/02/2021 0:00;7:16:54;17:46:54;79;confidence;1};10:30:00
9/02/2021 0:00;7:16:59;17:46:59;81;confidence;2};10:30:00
9/02/2021 0:00;7:17:04;17:47:04;79;confidence;1};10:30:00
9/02/2021 0:00;7:17:09;17:47:09;76;confidence;1};10:30:00
9/02/2021 0:00;7:17:14;17:47:14;77;confidence;1};10:30:00
9/02/2021 0:00;7:17:19;17:47:19;75;confidence;1};10:30:00
9/02/2021 0:00;7:17:24;17:47:24;77;confidence;1};10:30:00
9/02/2021 0:00;7:17:29;17:47:29;80;confidence;1};10:30:00
9/02/2021 0:00;7:17:34;17:47:34;82;confidence;1};10:30:00
9/02/2021 0:00;7:17:39;17:47:39;86;confidence;1};10:30:00
9/02/2021 0:00;7:17:44;17:47:44;83;confidence;1};10:30:00
9/02/2021 0:00;7:17:49;17:47:49;81;confidence;1};10:30:00
9/02/2021 0:00;7:17:54;17:47:54;78;confidence;1};10:30:00
9/02/2021 0:00;7:17:59;17:47:59;79;confidence;1};10:30:00
9/02/2021 0:00;7:18:04;17:48:04;78;confidence;1};10:30:00
9/02/2021 0:00;7:18:09;17:48:09;80;confidence;1};10:30:00
9/02/2021 0:00;7:18:19;17:48:19;81;confidence;1};10:30:00
9/02/2021 0:00;7:18:34;17:48:34;80;confidence;1};10:30:00
9/02/2021 0:00;7:18:39;17:48:39;79;confidence;1};10:30:00
9/02/2021 0:00;7:18:44;17:48:44;77;confidence;1};10:30:00
9/02/2021 0:00;7:18:49;17:48:49;73;confidence;1};10:30:00
9/02/2021 0:00;7:18:54;17:48:54;74;confidence;1};10:30:00
9/02/2021 0:00;7:18:59;17:48:59;73;confidence;1};10:30:00
9/02/2021 0:00;7:19:04;17:49:04;74;confidence;1};10:30:00
9/02/2021 0:00;7:19:19;17:49:19;78;confidence;1};10:30:00
9/02/2021 0:00;7:19:29;17:49:29;79;confidence;1};10:30:00
9/02/2021 0:00;7:19:34;17:49:34;80;confidence;1};10:30:00
9/02/2021 0:00;7:19:39;17:49:39;78;confidence;1};10:30:00
9/02/2021 0:00;7:19:49;17:49:49;79;confidence;1};10:30:00
9/02/2021 0:00;7:19:59;17:49:59;80;confidence;1};10:30:00
9/02/2021 0:00;7:20:14;17:50:14;79;confidence;1};10:30:00
9/02/2021 0:00;7:20:24;17:50:24;80;confidence;1};10:30:00
9/02/2021 0:00;7:20:29;17:50:29;81;confidence;1};10:30:00
9/02/2021 0:00;7:20:39;17:50:39;79;confidence;1};10:30:00
9/02/2021 0:00;7:20:44;17:50:44;83;confidence;1};10:30:00
9/02/2021 0:00;7:20:54;17:50:54;85;confidence;1};10:30:00
9/02/2021 0:00;7:20:59;17:50:59;84;confidence;1};10:30:00
9/02/2021 0:00;7:21:04;17:51:04;83;confidence;1};10:30:00
9/02/2021 0:00;7:21:09;17:51:09;80;confidence;1};10:30:00
9/02/2021 0:00;7:21:14;17:51:14;78;confidence;1};10:30:00
9/02/2021 0:00;7:21:19;17:51:19;77;confidence;1};10:30:00
9/02/2021 0:00;7:21:24;17:51:24;78;confidence;1};10:30:00
9/02/2021 0:00;7:21:29;17:51:29;81;confidence;1};10:30:00
9/02/2021 0:00;7:21:34;17:51:34;82;confidence;1};10:30:00
9/02/2021 0:00;7:21:39;17:51:39;84;confidence;1};10:30:00
9/02/2021 0:00;7:21:44;17:51:44;81;confidence;1};10:30:00
9/02/2021 0:00;7:21:49;17:51:49;80;confidence;1};10:30:00
9/02/2021 0:00;7:21:54;17:51:54;79;confidence;1};10:30:00
9/02/2021 0:00;7:22:04;17:52:04;82;confidence;1};10:30:00
9/02/2021 0:00;7:22:14;17:52:14;83;confidence;1};10:30:00
9/02/2021 0:00;7:22:19;17:52:19;82;confidence;1};10:30:00
9/02/2021 0:00;7:22:24;17:52:24;81;confidence;1};10:30:00
9/02/2021 0:00;7:22:29;17:52:29;79;confidence;1};10:30:00
9/02/2021 0:00;7:22:34;17:52:34;81;confidence;1};10:30:00
9/02/2021 0:00;7:22:39;17:52:39;80;confidence;1};10:30:00
9/02/2021 0:00;7:22:44;17:52:44;81;confidence;1};10:30:00
9/02/2021 0:00;7:22:49;17:52:49;80;confidence;1};10:30:00
9/02/2021 0:00;7:22:54;17:52:54;81;confidence;1};10:30:00
9/02/2021 0:00;7:22:59;17:52:59;82;confidence;1};10:30:00
9/02/2021 0:00;7:23:04;17:53:04;83;confidence;1};10:30:00
9/02/2021 0:00;7:23:14;17:53:14;82;confidence;1};10:30:00
9/02/2021 0:00;7:23:19;17:53:19;81;confidence;1};10:30:00
9/02/2021 0:00;7:23:24;17:53:24;80;confidence;1};10:30:00
9/02/2021 0:00;7:23:34;17:53:34;83;confidence;1};10:30:00
9/02/2021 0:00;7:23:44;17:53:44;81;confidence;1};10:30:00
9/02/2021 0:00;7:23:49;17:53:49;80;confidence;1};10:30:00
9/02/2021 0:00;7:24:04;17:54:04;81;confidence;1};10:30:00
9/02/2021 0:00;7:24:09;17:54:09;83;confidence;1};10:30:00
9/02/2021 0:00;7:24:14;17:54:14;84;confidence;1};10:30:00
9/02/2021 0:00;7:24:19;17:54:19;82;confidence;1};10:30:00
9/02/2021 0:00;7:24:24;17:54:24;81;confidence;1};10:30:00
9/02/2021 0:00;7:24:29;17:54:29;83;confidence;1};10:30:00
9/02/2021 0:00;7:24:34;17:54:34;86;confidence;1};10:30:00
9/02/2021 0:00;7:24:44;17:54:44;87;confidence;1};10:30:00
9/02/2021 0:00;7:24:49;17:54:49;88;confidence;1};10:30:00
9/02/2021 0:00;7:25:04;17:55:04;88;confidence;1};10:30:00
9/02/2021 0:00;7:25:19;17:55:19;85;confidence;1};10:30:00
9/02/2021 0:00;7:25:24;17:55:24;82;confidence;1};10:30:00
9/02/2021 0:00;7:25:29;17:55:29;78;confidence;1};10:30:00
9/02/2021 0:00;7:25:34;17:55:34;76;confidence;1};10:30:00
9/02/2021 0:00;7:25:39;17:55:39;72;confidence;1};10:30:00
9/02/2021 0:00;7:25:44;17:55:44;76;confidence;1};10:30:00
9/02/2021 0:00;7:25:49;17:55:49;80;confidence;1};10:30:00
9/02/2021 0:00;7:25:54;17:55:54;74;confidence;1};10:30:00
