"dateTime","value"
"09-02-2021 19:17:04","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:17:09","{""bpm"":76,""confidence"":1}"
"09-02-2021 19:17:14","{""bpm"":77,""confidence"":1}"
"09-02-2021 19:17:19","{""bpm"":75,""confidence"":1}"
"09-02-2021 19:17:24","{""bpm"":77,""confidence"":1}"
"09-02-2021 19:17:29","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:17:34","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:17:39","{""bpm"":86,""confidence"":1}"
"09-02-2021 19:17:44","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:17:49","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:17:54","{""bpm"":78,""confidence"":1}"
"09-02-2021 19:17:59","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:18:04","{""bpm"":78,""confidence"":1}"
"09-02-2021 19:18:09","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:18:19","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:18:34","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:18:39","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:18:44","{""bpm"":77,""confidence"":1}"
"09-02-2021 19:18:49","{""bpm"":73,""confidence"":1}"
"09-02-2021 19:18:54","{""bpm"":74,""confidence"":1}"
"09-02-2021 19:18:59","{""bpm"":73,""confidence"":1}"
"09-02-2021 19:19:04","{""bpm"":74,""confidence"":1}"
"09-02-2021 19:19:19","{""bpm"":78,""confidence"":1}"
"09-02-2021 19:19:29","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:19:34","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:19:39","{""bpm"":78,""confidence"":1}"
"09-02-2021 19:19:49","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:19:59","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:20:14","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:20:24","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:20:29","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:20:39","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:20:44","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:20:54","{""bpm"":85,""confidence"":1}"
"09-02-2021 19:20:59","{""bpm"":84,""confidence"":1}"
"09-02-2021 19:21:04","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:21:09","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:21:14","{""bpm"":78,""confidence"":1}"
"09-02-2021 19:21:19","{""bpm"":77,""confidence"":1}"
"09-02-2021 19:21:24","{""bpm"":78,""confidence"":1}"
"09-02-2021 19:21:29","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:21:34","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:21:39","{""bpm"":84,""confidence"":1}"
"09-02-2021 19:21:44","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:21:49","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:21:54","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:22:04","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:22:14","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:22:19","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:22:24","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:22:29","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:22:34","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:22:39","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:22:44","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:22:49","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:22:54","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:22:59","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:23:04","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:23:14","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:23:19","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:23:24","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:23:34","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:23:44","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:23:49","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:24:04","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:24:09","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:24:14","{""bpm"":84,""confidence"":1}"
"09-02-2021 19:24:19","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:24:24","{""bpm"":81,""confidence"":1}"
"09-02-2021 19:24:29","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:24:34","{""bpm"":86,""confidence"":1}"
"09-02-2021 19:24:44","{""bpm"":87,""confidence"":1}"
"09-02-2021 19:24:49","{""bpm"":88,""confidence"":1}"
"09-02-2021 19:25:04","{""bpm"":88,""confidence"":1}"
"09-02-2021 19:25:19","{""bpm"":85,""confidence"":1}"
"09-02-2021 19:25:24","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:25:29","{""bpm"":78,""confidence"":1}"
"09-02-2021 19:25:34","{""bpm"":76,""confidence"":1}"
