dateTime;value;bpm;confidence;;hora gtm
08-18-2021;19:02:27;65;1};;
08-18-2021;19:02:32;66;2};;
08-18-2021;19:02:37;67;2};;
08-18-2021;19:02:42;66;2};;
08-18-2021;19:02:47;68;2};;
08-18-2021;19:02:52;69;1};;
08-18-2021;19:03:02;71;1};;
08-18-2021;19:03:07;71;1};;
08-18-2021;19:03:12;69;1};;
08-18-2021;19:03:17;67;1};;
08-18-2021;19:03:32;66;1};;
08-18-2021;19:03:37;67;1};;
08-18-2021;19:03:47;68;1};;
08-18-2021;19:03:52;70;1};;
08-18-2021;19:03:57;74;1};;
08-18-2021;19:04:02;76;1};;
08-18-2021;19:04:07;78;1};;
08-18-2021;19:04:12;79;1};;
08-18-2021;19:04:17;83;1};;
08-18-2021;19:04:22;81;1};;
08-18-2021;19:04:27;83;1};;
08-18-2021;19:04:32;80;1};;
08-18-2021;19:04:37;79;1};;
08-18-2021;19:04:42;80;1};;
08-18-2021;19:04:52;81;1};;
08-18-2021;19:04:57;82;1};;
08-18-2021;19:05:02;81;2};;
08-18-2021;19:05:07;82;1};;
08-18-2021;19:05:12;78;3};;
08-18-2021;19:05:17;73;3};;
08-18-2021;19:05:22;69;1};;
08-18-2021;19:05:27;70;3};;
08-18-2021;19:05:32;69;1};;
08-18-2021;19:05:37;70;1};;
08-18-2021;19:05:42;77;1};;
08-18-2021;19:05:47;78;1};;
08-18-2021;19:05:52;79;1};;
08-18-2021;19:05:57;74;1};;
08-18-2021;19:06:02;66;1};;
08-18-2021;19:06:07;64;1};;
08-18-2021;19:06:12;63;1};;
08-18-2021;19:06:17;68;1};;
08-18-2021;19:06:22;69;1};;
08-18-2021;19:06:27;78;1};;
08-18-2021;19:06:32;77;1};;
08-18-2021;19:06:37;79;1};;
08-18-2021;19:06:42;78;2};;
08-18-2021;19:06:47;77;3};;
08-18-2021;19:06:52;76;1};;
08-18-2021;19:06:57;77;1};;
08-18-2021;19:07:07;79;1};;
08-18-2021;19:07:12;78;1};;
08-18-2021;19:07:17;79;1};;
08-18-2021;19:07:22;81;1};;
08-18-2021;19:07:27;82;1};;
08-18-2021;19:07:32;83;1};;
08-18-2021;19:07:37;77;1};;
08-18-2021;19:07:42;72;1};;
08-18-2021;19:07:47;68;1};;
08-18-2021;19:07:52;69;1};;
08-18-2021;19:07:57;73;1};;
08-18-2021;19:08:02;76;1};;
08-18-2021;19:08:17;75;1};;
08-18-2021;19:08:22;76;1};;
08-18-2021;19:08:27;75;2};;
08-18-2021;19:08:32;76;2};;
08-18-2021;19:08:37;75;2};;
08-18-2021;19:08:42;74;2};;
08-18-2021;19:08:47;75;2};;
08-18-2021;19:08:52;74;1};;
08-18-2021;19:09:02;74;2};;
08-18-2021;19:09:07;77;2};;
08-18-2021;19:09:12;77;3};;
08-18-2021;19:09:17;76;3};;
08-18-2021;19:09:22;76;2};;
08-18-2021;19:09:32;76;1};;
08-18-2021;19:09:37;78;1};;
08-18-2021;19:09:42;80;1};;
08-18-2021;19:09:47;78;1};;
08-18-2021;19:09:52;76;1};;
08-18-2021;19:10:02;72;1};;
08-18-2021;19:10:07;73;1};;
08-18-2021;19:10:12;72;1};;
08-18-2021;19:10:22;73;1};;
08-18-2021;19:10:27;68;1};;
08-18-2021;19:10:32;64;1};;
08-18-2021;19:10:37;65;1};;
08-18-2021;19:10:42;72;1};;
08-18-2021;19:10:47;75;1};;
08-18-2021;19:10:52;74;1};;
08-18-2021;19:10:57;76;1};;
08-18-2021;19:11:12;73;1};;
08-18-2021;19:11:17;77;1};;
08-18-2021;19:11:22;76;1};;
08-18-2021;19:11:27;77;1};;
08-18-2021;19:11:32;78;1};;
08-18-2021;19:11:37;82;1};;
08-18-2021;19:11:47;83;1};;
08-18-2021;19:11:52;80;1};;
08-18-2021;19:12:02;78;1};;
08-18-2021;19:12:07;75;1};;
08-18-2021;19:12:12;75;2};;
